,P_grid,P_curt,P_sto,E_sto
2011-11-29 00:00:00,3.0304714640198513,0,2.5104714640198513,6.75
2011-11-29 00:30:00,3.0789677419354837,0,2.5509677419354837,8.005235732009925
2011-11-29 01:00:00,3.079741935483871,0,2.583741935483871,9.280719602977669
2011-11-29 01:30:00,3.1043870967741936,0,2.5803870967741935,10.572590570719605
2011-11-29 02:00:00,3.002451612903226,0,2.584451612903226,11.862784119106701
2011-11-29 02:30:00,0.007588089330023418,0,-0.3944119106699766,13.155009925558314
2011-11-29 03:00:00,0.024645161290322515,0,-0.4093548387096775,12.957803970223326
2011-11-29 03:30:00,0.00879404466501399,0,-0.40320595533498604,12.753126550868487
2011-11-29 04:00:00,0.13580645161290333,0,-0.3721935483870967,12.551523573200994
2011-11-29 04:30:00,0.06948387096774189,0,-0.4465161290322581,12.365426799007446
2011-11-29 05:00:00,0.046362282878412764,0,-0.41563771712158726,12.142168734491317
2011-11-29 05:30:00,0,0.02051612903225808,-0.5105161290322581,11.934349875930524
2011-11-29 06:00:00,0,0.2523895781637715,-0.7557741935483868,11.679091811414395
2011-11-29 06:30:00,0.31569230769230905,0,-0.629307692307691,11.301204714640201
2011-11-29 07:00:00,0,0.18768486352357205,-0.5414540942928028,10.986550868486356
2011-11-29 07:30:00,0,0.33810918114143906,-0.5768784119106698,10.715823821339955
2011-11-29 08:00:00,0,0.4392456575682397,-0.34393796526054743,10.42738461538462
2011-11-29 08:30:00,0,0.475138957816377,-0.07536972704714628,10.255415632754346
2011-11-29 09:00:00,0,0.6088858560794047,0.06672952853597991,10.217730769230773
2011-11-29 09:30:00,0,0.7664119106699748,0.21228039702233303,10.251095533498763
2011-11-29 10:00:00,0,0.8403622828784107,0.3707915632754357,10.35723573200993
2011-11-29 10:30:00,0,0.672121588089329,0.4231861042183631,10.542631513647647
2011-11-29 11:00:00,0,0.4675459057071971,0.4259925558312645,10.754224565756829
2011-11-29 11:30:00,0,0.3245434243176193,0.4948411910669961,10.967220843672461
2011-11-29 12:00:00,0,0.43055831265508626,0.5750570719602983,11.214641439205959
2011-11-29 12:30:00,0,0.809424317617865,0.5776526054590576,11.502169975186108
2011-11-29 13:00:00,0,0.3585111662531023,0.522873449131513,11.790996277915637
2011-11-29 13:30:00,0,0.273233250620346,0.6275359801488847,12.052433002481393
2011-11-29 14:00:00,0,0.014833746898264,0.5690893300248128,12.366200992555836
2011-11-29 14:30:00,0.54697518610422,0,0.49374441687345083,12.650745657568242
2011-11-29 15:00:00,0.502270471464018,0,0.4621935483870949,12.897617866004968
2011-11-29 15:30:00,0.36426550868486407,0,0.14318858560794112,13.128714640198515
2011-11-29 16:00:00,0.9824590570719517,0,0.5993821339950287,13.200308933002486
2011-11-29 16:30:00,0.19407692307692304,0,0,13.5
2011-11-29 17:00:00,0,0.07861538461538453,0,13.5
2011-11-29 17:30:00,0.43607692307692314,0,0,13.5
2011-11-29 18:00:00,1.2141538461538464,0,0,13.5
2011-11-29 18:30:00,1.2383846153846154,0,0,13.5
2011-11-29 19:00:00,1.1893846153846153,0,0,13.5
2011-11-29 19:30:00,1.166,0,0,13.5
2011-11-29 20:00:00,1.224,0,0,13.5
2011-11-29 20:30:00,1.1179999999999999,0,0,13.5
2011-11-29 21:00:00,1.306,0,0,13.5
2011-11-29 21:30:00,1.256,0,0,13.5
2011-11-29 22:00:00,0.2288585607940441,0,-0.8471414392059557,13.5
2011-11-29 22:30:00,0.19290322580645147,0,-0.7330967741935485,13.076429280397022
2011-11-29 23:00:00,0.03847146401985069,0,-0.6495285359801493,12.709880893300248
2011-11-29 23:30:00,0,0.01281885856079501,-0.570818858560795,12.385116625310173
2011-11-30 00:00:00,0.004471464019850879,0,-0.4895285359801491,12.099707196029776
2011-11-30 00:30:00,0.03296774193548391,0,-0.44903225806451613,11.854942928039701
2011-11-30 01:00:00,0,0.01825806451612899,-0.41625806451612896,11.630426799007443
2011-11-30 01:30:00,0,0.013612903225806439,-0.41961290322580647,11.422297766749379
2011-11-30 02:00:00,0.012451612903225828,0,-0.41554838709677416,11.212491315136475
2011-11-30 02:30:00,0.05958808933002335,0,-0.3944119106699766,11.004717121588088
2011-11-30 03:00:00,0.034645161290322524,0,-0.4093548387096775,10.8075111662531
2011-11-30 03:30:00,0,0.007205955334986025,-0.40320595533498604,10.602833746898261
2011-11-30 04:00:00,0.019806451612903342,0,-0.3721935483870967,10.401230769230768
2011-11-30 04:30:00,0,0.0045161290322581205,-0.4465161290322581,10.21513399503722
2011-11-30 05:00:00,0.028362282878412748,0,-0.41563771712158726,9.991875930521092
2011-11-30 05:30:00,0,0.06913151364764264,-0.5105161290322581,9.784057071960298
2011-11-30 06:00:00,0.4836104218362285,0,-0.7557741935483868,9.528799007444169
2011-11-30 06:30:00,0,0.08492307692307555,-0.629307692307691,9.150911910669976
2011-11-30 07:00:00,0,0.138684863523572,-0.5414540942928028,8.83625806451613
2011-11-30 07:30:00,0,0.31410918114143893,-0.5768784119106698,8.565531017369729
2011-11-30 08:00:00,0,0.17478411910670127,-0.34393796526054743,8.277091811414394
2011-11-30 08:30:00,0.04316873449131531,0,-0.07536972704714628,8.10512282878412
2011-11-30 09:00:00,0.02580645161290296,0,0.06672952853597991,8.067437965260547
2011-11-30 09:30:00,0,0.300950372208436,0.21228039702233303,8.100802729528537
2011-11-30 10:00:00,0,0.3846699751861027,0.3707915632754357,8.206942928039703
2011-11-30 10:30:00,0,0.6887369727047137,0.4231861042183631,8.392338709677421
2011-11-30 11:00:00,0,0.8455459057071972,0.4259925558312645,8.603931761786603
2011-11-30 11:30:00,0,0.03562034739454267,0.4948411910669961,8.816928039702235
2011-11-30 12:00:00,0.8915186104218367,0,0.5750570719602983,9.064348635235733
